2025-11-30 19:32:21,724 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,724 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,410 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,411 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,411 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,411 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,412 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,412 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,412 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,412 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,412 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,412 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,412 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,412 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,412 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,413 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,413 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,413 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,413 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1968, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,413 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,413 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,413 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,413 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,414 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,414 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,414 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,414 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,414 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,414 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1969, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,414 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,414 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
